"Census Profile, 2021 Census of Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,British Columbia [Province],,,,,,,,,,,,Alberta [Province],,,,,,,,,,,,Saskatchewan [Province],,,,,,,,,,,,Manitoba [Province],,,,,,,,,,,,Ontario [Province],,,,,,,,,,,
Age characteristics,  0 to 14 years,,716900,,369250,,347650,,14.3,,15,,13.7,,809640,,415870,,393770,,19,,19.5,,18.4,,223115,,114360,,108755,,19.7,,20.3,,19.1,,252935,,129850,,123085,,18.8,,19.5,,18.2,,2251795,,1155630,,1096160,,15.8,,16.6,,15.1,
Age characteristics,    0 to 4 years,,216825,,111015,,105805,,4.3,,4.5,,4.2,,250250,,128560,,121690,,5.9,,6,,5.7,,69455,,35555,,33900,,6.1,,6.3,,6,,80435,,41145,,39290,,6,,6.2,,5.8,,683515,,350035,,333480,,4.8,,5,,4.6,
Age characteristics,    5 to 9 years,,244290,,125810,,118485,,4.9,,5.1,,4.7,,278810,,142850,,135955,,6.5,,6.7,,6.4,,76545,,39210,,37340,,6.8,,7,,6.6,,86250,,44515,,41735,,6.4,,6.7,,6.2,,764430,,392380,,372050,,5.4,,5.6,,5.1,
Age characteristics,    10 to 14 years,,255790,,132425,,123365,,5.1,,5.4,,4.9,,280585,,144460,,136120,,6.6,,6.8,,6.4,,77120,,39600,,37520,,6.8,,7,,6.6,,86250,,44190,,42060,,6.4,,6.6,,6.2,,803850,,413215,,390635,,5.7,,5.9,,5.4,
Age characteristics,  15 to 64 years,,3267620,,1614625,,1652995,,65.3,,65.7,,65,,2823770,,1416910,,1406865,,66.2,,66.6,,65.9,,711405,,357000,,354410,,62.8,,63.4,,62.2,,860165,,432385,,427780,,64.1,,64.9,,63.3,,9334440,,4616340,,4718100,,65.6,,66.2,,65,
Age characteristics,    15 to 19 years,,253690,,131245,,122445,,5.1,,5.3,,4.8,,249765,,128745,,121015,,5.9,,6.1,,5.7,,68510,,35525,,32985,,6,,6.3,,5.8,,80905,,41945,,38965,,6,,6.3,,5.8,,801455,,413485,,387970,,5.6,,5.9,,5.3,
Age characteristics,    20 to 24 years,,294650,,151505,,143145,,5.9,,6.2,,5.6,,248740,,128595,,120150,,5.8,,6,,5.6,,66870,,34580,,32295,,5.9,,6.1,,5.7,,91415,,48255,,43160,,6.8,,7.2,,6.4,,895600,,465525,,430075,,6.3,,6.7,,5.9,
Age characteristics,    25 to 29 years,,337090,,170500,,166585,,6.7,,6.9,,6.5,,275465,,138510,,136955,,6.5,,6.5,,6.4,,70030,,35420,,34605,,6.2,,6.3,,6.1,,90470,,46240,,44230,,6.7,,6.9,,6.5,,975400,,497185,,478215,,6.9,,7.1,,6.6,
Age characteristics,    30 to 34 years,,358585,,178925,,179660,,7.2,,7.3,,7.1,,323260,,160175,,163085,,7.6,,7.5,,7.6,,78380,,38930,,39450,,6.9,,6.9,,6.9,,91805,,45805,,46000,,6.8,,6.9,,6.8,,981210,,487465,,493745,,6.9,,7,,6.8,
Age characteristics,    35 to 39 years,,353350,,175175,,178175,,7.1,,7.1,,7,,338945,,168390,,170560,,8,,7.9,,8,,79420,,39380,,40040,,7,,7,,7,,90150,,44695,,45450,,6.7,,6.7,,6.7,,948030,,463170,,484860,,6.7,,6.6,,6.7,
Age characteristics,    40 to 44 years,,319740,,156480,,163260,,6.4,,6.4,,6.4,,307665,,153715,,153955,,7.2,,7.2,,7.2,,73055,,36670,,36380,,6.5,,6.5,,6.4,,84530,,41690,,42840,,6.3,,6.3,,6.3,,890160,,427860,,462295,,6.3,,6.1,,6.4,
Age characteristics,    45 to 49 years,,310035,,149520,,160515,,6.2,,6.1,,6.3,,277770,,139705,,138065,,6.5,,6.6,,6.5,,65075,,32425,,32655,,5.7,,5.8,,5.7,,80235,,39915,,40320,,6,,6,,6,,894580,,430580,,464005,,6.3,,6.2,,6.4,
Age characteristics,    50 to 54 years,,329005,,158540,,170460,,6.6,,6.5,,6.7,,262770,,131650,,131120,,6.2,,6.2,,6.1,,62745,,31300,,31440,,5.5,,5.6,,5.5,,78210,,38715,,39490,,5.8,,5.8,,5.8,,941270,,455420,,485845,,6.6,,6.5,,6.7,
Age characteristics,    55 to 59 years,,356345,,172520,,183825,,7.1,,7,,7.2,,274150,,135825,,138325,,6.4,,6.4,,6.5,,73165,,36045,,37120,,6.5,,6.4,,6.5,,87295,,43040,,44255,,6.5,,6.5,,6.5,,1040160,,507700,,532465,,7.3,,7.3,,7.3,
Age characteristics,    60 to 64 years,,355130,,170210,,184920,,7.1,,6.9,,7.3,,265240,,131600,,133640,,6.2,,6.2,,6.3,,74155,,36725,,37430,,6.5,,6.5,,6.6,,85155,,42080,,43075,,6.3,,6.3,,6.4,,966575,,467955,,498625,,6.8,,6.7,,6.9,
Age characteristics,  65 years and over,,1016365,,473640,,542720,,20.3,,19.3,,21.3,,629220,,295155,,334070,,14.8,,13.9,,15.6,,197980,,91765,,106215,,17.5,,16.3,,18.7,,229050,,104255,,124795,,17.1,,15.6,,18.5,,2637710,,1198880,,1438825,,18.5,,17.2,,19.8,
Age characteristics,    65 to 69 years,,319405,,152705,,166700,,6.4,,6.2,,6.6,,217270,,106975,,110295,,5.1,,5,,5.2,,64770,,32140,,32630,,5.7,,5.7,,5.7,,73060,,35565,,37495,,5.4,,5.3,,5.5,,813215,,386325,,426890,,5.7,,5.5,,5.9,
Age characteristics,    70 to 74 years,,272365,,130370,,141995,,5.4,,5.3,,5.6,,163890,,79150,,84735,,3.8,,3.7,,4,,48945,,23790,,25160,,4.3,,4.2,,4.4,,59955,,28295,,31665,,4.5,,4.2,,4.7,,691280,,325435,,365840,,4.9,,4.7,,5,
Age characteristics,    75 to 79 years,,181075,,86060,,95015,,3.6,,3.5,,3.7,,105520,,49860,,55660,,2.5,,2.3,,2.6,,33045,,15605,,17445,,2.9,,2.8,,3.1,,39885,,18500,,21385,,3,,2.8,,3.2,,469485,,217485,,252000,,3.3,,3.1,,3.5,
Age characteristics,    80 to 84 years,,121055,,55285,,65780,,2.4,,2.2,,2.6,,70160,,31510,,38650,,1.6,,1.5,,1.8,,23460,,10290,,13170,,2.1,,1.8,,2.3,,26890,,11700,,15185,,2,,1.8,,2.2,,325110,,143070,,182045,,2.3,,2.1,,2.5,
Age characteristics,    85 years and over,,122465,,49225,,73235,,2.4,,2,,2.9,,72375,,27660,,44720,,1.7,,1.3,,2.1,,27765,,9945,,17820,,2.5,,1.8,,3.1,,29255,,10190,,19065,,2.2,,1.5,,2.8,,338620,,126565,,212050,,2.4,,1.8,,2.9,
Age characteristics,      85 to 89 years,,74315,,32315,,42005,,1.5,,1.3,,1.7,,44670,,18540,,26130,,1,,0.9,,1.2,,16165,,6290,,9870,,1.4,,1.1,,1.7,,17200,,6610,,10585,,1.3,,1,,1.6,,205480,,83875,,121605,,1.4,,1.2,,1.7,
Age characteristics,      90 to 94 years,,36840,,13715,,23120,,0.7,,0.6,,0.9,,21430,,7545,,13890,,0.5,,0.4,,0.7,,8715,,2965,,5750,,0.8,,0.5,,1,,8970,,2845,,6125,,0.7,,0.4,,0.9,,101430,,34715,,66710,,0.7,,0.5,,0.9,
Age characteristics,      95 to 99 years,,9790,,2865,,6925,,0.2,,0.1,,0.3,,5480,,1405,,4075,,0.1,,0.1,,0.2,,2435,,625,,1810,,0.2,,0.1,,0.3,,2640,,650,,1995,,0.2,,0.1,,0.3,,28000,,7235,,20770,,0.2,,0.1,,0.3,
Age characteristics,      100 years and over,,1515,,330,,1185,,0,,0,,0,,795,,170,,625,,0,,0,,0,,450,,60,,385,,0,,0,,0.1,,445,,85,,360,,0,,0,,0.1,,3705,,745,,2965,,0,,0,,0,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,14.3,,15,,13.7,,14.3,,15,,13.7,,19,,19.5,,18.4,,19,,19.5,,18.4,,19.7,,20.3,,19.1,,19.7,,20.3,,19.1,,18.8,,19.5,,18.2,,18.8,,19.5,,18.2,,15.8,,16.6,,15.1,,15.8,,16.6,,15.1,
Age characteristics,  15 to 64 years,,65.3,,65.7,,65,,65.3,,65.7,,65,,66.2,,66.6,,65.9,,66.2,,66.6,,65.9,,62.8,,63.4,,62.2,,62.8,,63.4,,62.2,,64.1,,64.9,,63.3,,64.1,,64.9,,63.3,,65.6,,66.2,,65,,65.6,,66.2,,65,
Age characteristics,  65 years and over,,20.3,,19.3,,21.3,,20.3,,19.3,,21.3,,14.8,,13.9,,15.6,,14.8,,13.9,,15.6,,17.5,,16.3,,18.7,,17.5,,16.3,,18.7,,17.1,,15.6,,18.5,,17.1,,15.6,,18.5,,18.5,,17.2,,19.8,,18.5,,17.2,,19.8,
Age characteristics,    85 years and over,,2.4,,2,,2.9,,2.4,,2,,2.9,,1.7,,1.3,,2.1,,1.7,,1.3,,2.1,,2.5,,1.8,,3.1,,2.5,,1.8,,3.1,,2.2,,1.5,,2.8,,2.2,,1.5,,2.8,,2.4,,1.8,,2.9,,2.4,,1.8,,2.9,
Age characteristics,Average age of the population,,43.1,,42.2,,43.9,,43.1,,42.2,,43.9,,39,,38.4,,39.7,,39,,38.4,,39.7,,39.8,,38.9,,40.7,,39.8,,38.9,,40.7,,39.7,,38.7,,40.7,,39.7,,38.7,,40.7,,41.8,,40.7,,42.8,,41.8,,40.7,,42.8,
Age characteristics,Median age of the population,,42.8,,41.6,,44,,42.8,,41.6,,44,,38.4,,37.6,,38.8,,38.4,,37.6,,38.8,,38.8,,38,,39.6,,38.8,,38,,39.6,,38.4,,37.2,,39.6,,38.4,,37.2,,39.6,,41.6,,40,,42.8,,41.6,,40,,42.8,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,2041835,,,...,,...,100,,,...,,...,1633220,,,...,,...,100,,,...,,...,449580,,,...,,...,100,,,...,,...,518055,,,...,,...,100,,,...,,...,5491200,,,...,,...,100,,,...,,...
Household and dwelling characteristics,  Single-detached house,,866340,,,...,,...,42.4,,,...,,...,994565,,,...,,...,60.9,,,...,,...,322070,,,...,,...,71.6,,,...,,...,343990,,,...,,...,66.4,,,...,,...,2942990,,,...,,...,53.6,,,...,,...
Household and dwelling characteristics,  Semi-detached house,,62890,,,...,,...,3.1,,,...,,...,98740,,,...,,...,6,,,...,,...,13680,,,...,,...,3,,,...,,...,18185,,,...,,...,3.5,,,...,,...,303260,,,...,,...,5.5,,,...,,...
Household and dwelling characteristics,  Row house,,168590,,,...,,...,8.3,,,...,,...,127735,,,...,,...,7.8,,,...,,...,19860,,,...,,...,4.4,,,...,,...,19725,,,...,,...,3.8,,,...,,...,505265,,,...,,...,9.2,,,...,,...
Household and dwelling characteristics,  Apartment or flat in a duplex,,249835,,,...,,...,12.2,,,...,,...,43730,,,...,,...,2.7,,,...,,...,11240,,,...,,...,2.5,,,...,,...,7445,,,...,,...,1.4,,,...,,...,181030,,,...,,...,3.3,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,417475,,,...,,...,20.4,,,...,,...,247030,,,...,,...,15.1,,,...,,...,61855,,,...,,...,13.8,,,...,,...,74865,,,...,,...,14.5,,,...,,...,548785,,,...,,...,10,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,221845,,,...,,...,10.9,,,...,,...,74880,,,...,,...,4.6,,,...,,...,11040,,,...,,...,2.5,,,...,,...,43665,,,...,,...,8.4,,,...,,...,984665,,,...,,...,17.9,,,...,,...
Household and dwelling characteristics,  Other single-attached house,,3760,,,...,,...,0.2,,,...,,...,1215,,,...,,...,0.1,,,...,,...,755,,,...,,...,0.2,,,...,,...,600,,,...,,...,0.1,,,...,,...,10220,,,...,,...,0.2,,,...,,...
Household and dwelling characteristics,  Movable dwelling,4,51100,,,...,,...,2.5,,,...,,...,45325,,,...,,...,2.8,,,...,,...,9090,,,...,,...,2,,,...,,...,9590,,,...,,...,1.9,,,...,,...,14985,,,...,,...,0.3,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,,2041835,,,...,,...,100,,,...,,...,1633220,,,...,,...,100,,,...,,...,449580,,,...,,...,100,,,...,,...,518055,,,...,,...,100,,,...,,...,5491205,,,...,,...,100,,,...,,...
Household and dwelling characteristics,  1 person,,600705,,,...,,...,29.4,,,...,,...,424055,,,...,,...,26,,,...,,...,130110,,,...,,...,28.9,,,...,,...,146225,,,...,,...,28.2,,,...,,...,1452540,,,...,,...,26.5,,,...,,...
Household and dwelling characteristics,  2 persons,,719865,,,...,,...,35.3,,,...,,...,551420,,,...,,...,33.8,,,...,,...,158555,,,...,,...,35.3,,,...,,...,173990,,,...,,...,33.6,,,...,,...,1798040,,,...,,...,32.7,,,...,,...
Household and dwelling characteristics,  3 persons,,296200,,,...,,...,14.5,,,...,,...,249135,,,...,,...,15.3,,,...,,...,60185,,,...,,...,13.4,,,...,,...,74615,,,...,,...,14.4,,,...,,...,872480,,,...,,...,15.9,,,...,,...
Household and dwelling characteristics,  4 persons,,256700,,,...,,...,12.6,,,...,,...,243400,,,...,,...,14.9,,,...,,...,57860,,,...,,...,12.9,,,...,,...,69480,,,...,,...,13.4,,,...,,...,825445,,,...,,...,15,,,...,,...
Household and dwelling characteristics,  5 or more persons,,168355,,,...,,...,8.2,,,...,,...,165215,,,...,,...,10.1,,,...,,...,42875,,,...,,...,9.5,,,...,,...,53740,,,...,,...,10.4,,,...,,...,542700,,,...,,...,9.9,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,4915945,,2416800,,2499140,,100,,100,,100,,4177715,,2088185,,2089530,,100,,100,,100,,1103205,,549475,,553725,,100,,100,,100,,1307185,,650220,,656965,,100,,100,,100,,14031750,,6887760,,7143995,,100,,100,,100,
Household and dwelling characteristics,Average household size,,2.4,,,...,,...,2.4,,,...,,...,2.6,,,...,,...,2.6,,,...,,...,2.5,,,...,,...,2.5,,,...,,...,2.5,,,...,,...,2.5,,,...,,...,2.6,,,...,,...,2.6,,,...,,...
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,4283980,,2088265,,2195715,,100,,100,,100,,3452995,,1712065,,1740925,,100,,100,,100,,909390,,448765,,460625,,100,,100,,100,,1089215,,536645,,552575,,100,,100,,100,,11972145,,5815220,,6156925,,100,,100,,100,
Marital status,  Married or living common-law,,2464130,,1229850,,1234280,,57.5,,58.9,,56.2,,2033945,,1018425,,1015520,,58.9,,59.5,,58.3,,526835,,263575,,263255,,57.9,,58.7,,57.2,,616260,,307545,,308715,,56.6,,57.3,,55.9,,6769725,,3384485,,3385240,,56.5,,58.2,,55,
Marital status,    Married,,2036165,,1015165,,1021000,,47.5,,48.6,,46.5,,1703285,,852950,,850335,,49.3,,49.8,,48.8,,440040,,220210,,219830,,48.4,,49.1,,47.7,,515480,,257300,,258185,,47.3,,47.9,,46.7,,5738390,,2866825,,2871565,,47.9,,49.3,,46.6,
Marital status,    Living common-law,,427970,,214680,,213285,,10,,10.3,,9.7,,330655,,165475,,165180,,9.6,,9.7,,9.5,,86795,,43365,,43430,,9.5,,9.7,,9.4,,100785,,50250,,50535,,9.3,,9.4,,9.1,,1031340,,517665,,513670,,8.6,,8.9,,8.3,
Marital status,      Living common law - Never married,,313560,,158045,,155515,,7.3,,7.6,,7.1,,245650,,123625,,122030,,7.1,,7.2,,7,,65395,,32860,,32530,,7.2,,7.3,,7.1,,75340,,37700,,37640,,6.9,,7,,6.8,,727825,,366175,,361650,,6.1,,6.3,,5.9,
Marital status,      Living common law - Separated,,17220,,8940,,8285,,0.4,,0.4,,0.4,,12835,,6745,,6090,,0.4,,0.4,,0.3,,3075,,1580,,1495,,0.3,,0.4,,0.3,,4135,,2140,,1995,,0.4,,0.4,,0.4,,55440,,29445,,25995,,0.5,,0.5,,0.4,
Marital status,      Living common law - Divorced,,87370,,43700,,43670,,2,,2.1,,2,,65955,,32580,,33375,,1.9,,1.9,,1.9,,16305,,8125,,8185,,1.8,,1.8,,1.8,,19035,,9465,,9565,,1.7,,1.8,,1.7,,220445,,110510,,109935,,1.8,,1.9,,1.8,
Marital status,      Living common law - Widowed,,9815,,3995,,5820,,0.2,,0.2,,0.3,,6210,,2520,,3690,,0.2,,0.1,,0.2,,2025,,800,,1220,,0.2,,0.2,,0.3,,2275,,940,,1330,,0.2,,0.2,,0.2,,27625,,11535,,16095,,0.2,,0.2,,0.3,
Marital status,  Not married and not living common-law,,1819845,,858415,,961435,,42.5,,41.1,,43.8,,1419050,,693640,,725410,,41.1,,40.5,,41.7,,382560,,185185,,197370,,42.1,,41.3,,42.8,,472955,,229095,,243860,,43.4,,42.7,,44.1,,5202420,,2430735,,2771690,,43.5,,41.8,,45,
Marital status,    Not married and not living common law - Never married,,1202625,,653345,,549280,,28.1,,31.3,,25,,969780,,535715,,434065,,28.1,,31.3,,24.9,,258905,,142445,,116460,,28.5,,31.7,,25.3,,330855,,181470,,149385,,30.4,,33.8,,27,,3515215,,1885705,,1629515,,29.4,,32.4,,26.5,
Marital status,    Not married and not living common law - Separated,,110710,,47290,,63420,,2.6,,2.3,,2.9,,83350,,36440,,46910,,2.4,,2.1,,2.7,,20685,,9310,,11375,,2.3,,2.1,,2.5,,24470,,10900,,13565,,2.2,,2,,2.5,,333775,,139675,,194100,,2.8,,2.4,,3.2,
Marital status,    Not married and not living common law - Divorced,,283035,,109615,,173420,,6.6,,5.2,,7.9,,214460,,87950,,126505,,6.2,,5.1,,7.3,,50635,,22150,,28485,,5.6,,4.9,,6.2,,57440,,23780,,33665,,5.3,,4.4,,6.1,,695630,,266865,,428765,,5.8,,4.6,,7,
Marital status,    Not married and not living common law - Widowed,,223475,,48165,,175310,,5.2,,2.3,,8,,151455,,33530,,117925,,4.4,,2,,6.8,,52330,,11280,,41050,,5.8,,2.5,,8.9,,60190,,12945,,47250,,5.5,,2.4,,8.6,,657800,,138495,,519305,,5.5,,2.4,,8.4,
Family characteristics,Total - Census families in private households by family size - 100% data,5,1399405,,,...,,...,100,,,...,,...,1164655,,,...,,...,100,,,...,,...,308690,,,...,,...,100,,,...,,...,359585,,,...,,...,100,,,...,,...,3969670,,,...,,...,100,,,...,,...
Family characteristics,  2 persons,,763875,,,...,,...,54.6,,,...,,...,565900,,,...,,...,48.6,,,...,,...,160870,,,...,,...,52.1,,,...,,...,179345,,,...,,...,49.9,,,...,,...,1936595,,,...,,...,48.8,,,...,,...
Family characteristics,  3 persons,,290335,,,...,,...,20.7,,,...,,...,240980,,,...,,...,20.7,,,...,,...,58650,,,...,,...,19,,,...,,...,73610,,,...,,...,20.5,,,...,,...,877660,,,...,,...,22.1,,,...,,...
Family characteristics,  4 persons,,255295,,,...,,...,18.2,,,...,,...,238600,,,...,,...,20.5,,,...,,...,55775,,,...,,...,18.1,,,...,,...,67475,,,...,,...,18.8,,,...,,...,811380,,,...,,...,20.4,,,...,,...
Family characteristics,  5 or more persons,,89900,,,...,,...,6.4,,,...,,...,119170,,,...,,...,10.2,,,...,,...,33390,,,...,,...,10.8,,,...,,...,39150,,,...,,...,10.9,,,...,,...,344035,,,...,,...,8.7,,,...,,...
Family characteristics,Average size of census families,,2.8,,,...,,...,2.8,,,...,,...,3,,,...,,...,3,,,...,,...,2.9,,,...,,...,2.9,,,...,,...,3,,,...,,...,3,,,...,,...,2.9,,,...,,...,2.9,,,...,,...
Family characteristics,Average number of children in census families with children,6,1.7,,,...,,...,1.7,,,...,,...,1.9,,,...,,...,1.9,,,...,,...,1.9,,,...,,...,1.9,,,...,,...,1.9,,,...,,...,1.9,,,...,,...,1.8,,,...,,...,1.8,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,,1399405,,,...,,...,100,,,...,,...,1164650,,,...,,...,100,,,...,,...,308690,,,...,,...,100,,,...,,...,359585,,,...,,...,100,,,...,,...,3969670,,,...,,...,100,,,...,,...
Family characteristics,  Total couple families,,1190930,,,...,,...,85.1,,,...,,...,987465,,,...,,...,84.8,,,...,,...,255910,,,...,,...,82.9,,,...,,...,298295,,,...,,...,83,,,...,,...,3291560,,,...,,...,82.9,,,...,,...
Family characteristics,    Married couples,,977010,,,...,,...,69.8,,,...,,...,822175,,,...,,...,70.6,,,...,,...,212520,,,...,,...,68.8,,,...,,...,247900,,,...,,...,68.9,,,...,,...,2776165,,,...,,...,69.9,,,...,,...
Family characteristics,      With children,6,496240,,,...,,...,35.5,,,...,,...,464975,,,...,,...,39.9,,,...,,...,106385,,,...,,...,34.5,,,...,,...,133760,,,...,,...,37.2,,,...,,...,1571480,,,...,,...,39.6,,,...,,...
Family characteristics,      Without children,,480770,,,...,,...,34.4,,,...,,...,357200,,,...,,...,30.7,,,...,,...,106135,,,...,,...,34.4,,,...,,...,114140,,,...,,...,31.7,,,...,,...,1204680,,,...,,...,30.3,,,...,,...
Family characteristics,    Common-law couples,,213925,,,...,,...,15.3,,,...,,...,165290,,,...,,...,14.2,,,...,,...,43395,,,...,,...,14.1,,,...,,...,50390,,,...,,...,14,,,...,,...,515395,,,...,,...,13,,,...,,...
Family characteristics,      With children,6,64570,,,...,,...,4.6,,,...,,...,60705,,,...,,...,5.2,,,...,,...,18190,,,...,,...,5.9,,,...,,...,20505,,,...,,...,5.7,,,...,,...,189835,,,...,,...,4.8,,,...,,...
Family characteristics,      Without children,,149355,,,...,,...,10.7,,,...,,...,104580,,,...,,...,9,,,...,,...,25205,,,...,,...,8.2,,,...,,...,29885,,,...,,...,8.3,,,...,,...,325560,,,...,,...,8.2,,,...,,...
Family characteristics,  Total one-parent families,,208475,,,...,,...,14.9,,,...,,...,177190,,,...,,...,15.2,,,...,,...,52775,,,...,,...,17.1,,,...,,...,61295,,,...,,...,17,,,...,,...,678110,,,...,,...,17.1,,,...,,...
Family characteristics,    in which the parent is a woman+,,161820,,,...,,...,11.6,,,...,,...,135065,,,...,,...,11.6,,,...,,...,39825,,,...,,...,12.9,,,...,,...,46900,,,...,,...,13,,,...,,...,538450,,,...,,...,13.6,,,...,,...
Family characteristics,    in which the parent is a man+,,46655,,,...,,...,3.3,,,...,,...,42125,,,...,,...,3.6,,,...,,...,12955,,,...,,...,4.2,,,...,,...,14390,,,...,,...,4,,,...,,...,139660,,,...,,...,3.5,,,...,,...
Family characteristics,Total - Persons in private households - 100% data,,4915945,,2416800,,2499140,,100,,100,,100,,4177715,,2088185,,2089530,,100,,100,,100,,1103205,,549475,,553725,,100,,100,,100,,1307185,,650215,,656965,,100,,100,,100,,14031750,,6887760,,7143995,,100,,100,,100,
Family characteristics,  Total - Persons in census families,,3897915,,1933790,,1964120,,79.3,,80,,78.6,,3456645,,1720145,,1736505,,82.7,,82.4,,83.1,,903775,,448945,,454830,,81.9,,81.7,,82.1,,1067425,,530695,,536730,,81.7,,81.6,,81.7,,11601460,,5741475,,5859990,,82.7,,83.4,,82,
Family characteristics,    Married spouses or common-law partners,,2381865,,1191345,,1190515,,48.5,,49.3,,47.6,,1974930,,986995,,987935,,47.3,,47.3,,47.3,,511820,,255785,,256040,,46.4,,46.6,,46.2,,596590,,297940,,298645,,45.6,,45.8,,45.5,,6583120,,3292585,,3290525,,46.9,,47.8,,46.1,
Family characteristics,    Parents in one-parent families,,208475,,46660,,161820,,4.2,,1.9,,6.5,,177185,,42120,,135060,,4.2,,2,,6.5,,52780,,12955,,39820,,4.8,,2.4,,7.2,,61290,,14395,,46900,,4.7,,2.2,,7.1,,678110,,139660,,538450,,4.8,,2,,7.5,
Family characteristics,    Children,6,1307575,,695790,,611785,,26.6,,28.8,,24.5,,1304525,,691020,,613500,,31.2,,33.1,,29.4,,339175,,180210,,158965,,30.7,,32.8,,28.7,,409545,,218365,,191185,,31.3,,33.6,,29.1,,4340235,,2309225,,2031005,,30.9,,33.5,,28.4,
Family characteristics,      In a two-parent family,,1001235,,529410,,471830,,20.4,,21.9,,18.9,,1022235,,538215,,484020,,24.5,,25.8,,23.2,,248725,,130995,,117725,,22.5,,23.8,,21.3,,306475,,162400,,144075,,23.4,,25,,21.9,,3281460,,1736630,,1544825,,23.4,,25.2,,21.6,
Family characteristics,      In a one-parent family,,306340,,166380,,139960,,6.2,,6.9,,5.6,,282290,,152810,,129485,,6.8,,7.3,,6.2,,90455,,49210,,41240,,8.2,,9,,7.4,,103070,,55965,,47110,,7.9,,8.6,,7.2,,1058775,,572595,,486185,,7.5,,8.3,,6.8,
