"Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2024",,,,,,,,,,,
Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result,Column1,,,
Provincial,British Columbia,n/a,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Breast Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Breast Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Breast Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,CABG,% Meeting Benchmark,2008,Proportion,91,,,,
Provincial,British Columbia,n/a,CABG,50th Percentile,2008,Days,43,,,,
Provincial,British Columbia,n/a,CABG,90th Percentile,2008,Days,109,,,,
Provincial,British Columbia,n/a,CABG,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Cataract Surgery,% Meeting Benchmark,2008,Proportion,78,,,,
Provincial,British Columbia,n/a,Cataract Surgery,50th Percentile,2008,Days,55,,,,
Provincial,British Columbia,n/a,Cataract Surgery,90th Percentile,2008,Days,171,,,,
Provincial,British Columbia,n/a,Cataract Surgery,Volume,2008,Number of cases,"22,035",,,,
Provincial,British Columbia,n/a,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,CT Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,CT Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,CT Scan,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,50th Percentile,2008,Hours,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,90th Percentile,2008,Hours,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Hip Replacement,% Meeting Benchmark,2008,Proportion,78,,,,
Provincial,British Columbia,n/a,Hip Replacement,50th Percentile,2008,Days,71,,,,
Provincial,British Columbia,n/a,Hip Replacement,90th Percentile,2008,Days,279,,,,
Provincial,British Columbia,n/a,Hip Replacement,Volume,2008,Number of cases,"2,192",,,,
Provincial,British Columbia,n/a,Knee Replacement,% Meeting Benchmark,2008,Proportion,71,,,,
Provincial,British Columbia,n/a,Knee Replacement,50th Percentile,2008,Days,102,,,,
Provincial,British Columbia,n/a,Knee Replacement,90th Percentile,2008,Days,332,,,,
Provincial,British Columbia,n/a,Knee Replacement,Volume,2008,Number of cases,"3,130",,,,
Provincial,British Columbia,n/a,Lung Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Lung Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Lung Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,MRI Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,MRI Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,MRI Scan,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Radiation Therapy,% Meeting Benchmark,2008,Proportion,95,,,,
Provincial,British Columbia,n/a,Radiation Therapy,50th Percentile,2008,Days,7,,,,
Provincial,British Columbia,n/a,Radiation Therapy,90th Percentile,2008,Days,n/a,,,,
Provincial,British Columbia,n/a,Radiation Therapy,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Breast Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Breast Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Breast Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,CABG,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,CABG,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,CABG,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,CABG,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Cataract Surgery,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,Cataract Surgery,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Cataract Surgery,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Cataract Surgery,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,CT Scan,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,CT Scan,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,CT Scan,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,Hip Fracture Repair,50th Percentile,2008,Hours,n/a,,,,
National,Canada,n/a,Hip Fracture Repair,90th Percentile,2008,Hours,n/a,,,,
National,Canada,n/a,Hip Fracture Repair,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Hip Replacement,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,Hip Replacement,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Hip Replacement,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Hip Replacement,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Knee Replacement,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,Knee Replacement,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Knee Replacement,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Knee Replacement,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Lung Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Lung Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Lung Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,MRI Scan,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,MRI Scan,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,MRI Scan,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
National,Canada,n/a,Radiation Therapy,% Meeting Benchmark,2008,Proportion,n/a,,,,
National,Canada,n/a,Radiation Therapy,50th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Radiation Therapy,90th Percentile,2008,Days,n/a,,,,
National,Canada,n/a,Radiation Therapy,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Breast Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Breast Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Breast Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,CABG,% Meeting Benchmark,2008,Proportion,96,,,,
Provincial,Manitoba,n/a,CABG,50th Percentile,2008,Days,17,,,,
Provincial,Manitoba,n/a,CABG,90th Percentile,2008,Days,119,,,,
Provincial,Manitoba,n/a,CABG,Volume,2008,Number of cases,428,,,,
Provincial,Manitoba,n/a,Cataract Surgery,% Meeting Benchmark,2008,Proportion,77,,,,
Provincial,Manitoba,n/a,Cataract Surgery,50th Percentile,2008,Days,75,,,,
Provincial,Manitoba,n/a,Cataract Surgery,90th Percentile,2008,Days,151,,,,
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2008,Number of cases,"4,215",,,,
Provincial,Manitoba,n/a,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,CT Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,CT Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,CT Scan,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,50th Percentile,2008,Hours,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,90th Percentile,2008,Hours,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Hip Replacement,% Meeting Benchmark,2008,Proportion,64,,,,
Provincial,Manitoba,n/a,Hip Replacement,50th Percentile,2008,Days,139,,,,
Provincial,Manitoba,n/a,Hip Replacement,90th Percentile,2008,Days,362,,,,
Provincial,Manitoba,n/a,Hip Replacement,Volume,2008,Number of cases,646,,,,
Provincial,Manitoba,n/a,Knee Replacement,% Meeting Benchmark,2008,Proportion,52,,,,
Provincial,Manitoba,n/a,Knee Replacement,50th Percentile,2008,Days,174,,,,
Provincial,Manitoba,n/a,Knee Replacement,90th Percentile,2008,Days,479,,,,
Provincial,Manitoba,n/a,Knee Replacement,Volume,2008,Number of cases,"1,052",,,,
Provincial,Manitoba,n/a,Lung Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Lung Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Lung Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,MRI Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,MRI Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,MRI Scan,Volume,2008,Number of cases,"23,392",,,,
Provincial,Manitoba,n/a,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Manitoba,n/a,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Radiation Therapy,% Meeting Benchmark,2008,Proportion,99,,,,
Provincial,Manitoba,n/a,Radiation Therapy,50th Percentile,2008,Days,5,,,,
Provincial,Manitoba,n/a,Radiation Therapy,90th Percentile,2008,Days,23,,,,
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2008,Number of cases,"1,507",,,,
Provincial,New Brunswick,n/a,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Breast Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Breast Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Breast Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,CABG,% Meeting Benchmark,2008,Proportion,95,,,,
Provincial,New Brunswick,n/a,CABG,50th Percentile,2008,Days,3,,,,
Provincial,New Brunswick,n/a,CABG,90th Percentile,2008,Days,131,,,,
Provincial,New Brunswick,n/a,CABG,Volume,2008,Number of cases,214,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,% Meeting Benchmark,2008,Proportion,74,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,50th Percentile,2008,Days,57,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,90th Percentile,2008,Days,194,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,Volume,2008,Number of cases,"4,460",,,,
Provincial,New Brunswick,n/a,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,CT Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,CT Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,CT Scan,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,50th Percentile,2008,Hours,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,90th Percentile,2008,Hours,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Hip Replacement,% Meeting Benchmark,2008,Proportion,66,,,,
Provincial,New Brunswick,n/a,Hip Replacement,50th Percentile,2008,Days,140,,,,
Provincial,New Brunswick,n/a,Hip Replacement,90th Percentile,2008,Days,309,,,,
Provincial,New Brunswick,n/a,Hip Replacement,Volume,2008,Number of cases,300,,,,
Provincial,New Brunswick,n/a,Knee Replacement,% Meeting Benchmark,2008,Proportion,55,,,,
Provincial,New Brunswick,n/a,Knee Replacement,50th Percentile,2008,Days,167,,,,
Provincial,New Brunswick,n/a,Knee Replacement,90th Percentile,2008,Days,408,,,,
Provincial,New Brunswick,n/a,Knee Replacement,Volume,2008,Number of cases,538,,,,
Provincial,New Brunswick,n/a,Lung Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Lung Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Lung Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,MRI Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,MRI Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,MRI Scan,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Radiation Therapy,% Meeting Benchmark,2008,Proportion,94,,,,
Provincial,New Brunswick,n/a,Radiation Therapy,50th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Radiation Therapy,90th Percentile,2008,Days,n/a,,,,
Provincial,New Brunswick,n/a,Radiation Therapy,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Breast Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,CABG,% Meeting Benchmark,2008,Proportion,95,,,,
Provincial,Newfoundland and Labrador,n/a,CABG,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,CABG,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,CABG,Volume,2008,Number of cases,210,,,,
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Cataract Surgery,Volume,2008,Number of cases,"2,079",,,,
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,CT Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,CT Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2008,Number of cases,"29,890",,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,50th Percentile,2008,Hours,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,90th Percentile,2008,Hours,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Hip Replacement,Volume,2008,Number of cases,164,,,,
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Knee Replacement,Volume,2008,Number of cases,287,,,,
Provincial,Newfoundland and Labrador,n/a,Lung Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Lung Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Lung Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,MRI Scan,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,MRI Scan,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2008,Number of cases,"5,512",,,,
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,% Meeting Benchmark,2008,Proportion,85,,,,
Provincial,Newfoundland and Labrador,n/a,Radiation Therapy,50th Percentile,2008,Days,n/a,,,,
