"
1983,498.01,149.70,134.86,85.17,287.74,63.02,25.45,—,23.57,—,"1,267.51",47.40,"1,314.91"
1984,513.83,172.15,141.90,90.72,252.20,68.57,27.81,—,27.04,—,"1,294.21",57.23,"1,351.44"
1985,533.33,201.03,155.56,95.74,256.09,68.08,29.33,—,31.98,—,"1,371.14",48.76,"1,419.90"
1986,564.74,226.84,172.59,105.60,218.38,54.90,28.40,—,38.49,—,"1,409.93",50.51,"1,460.44"
1987,600.80,251.56,190.14,115.98,223.64,54.87,28.83,—,43.75,—,"1,509.57",67.94,"1,577.51"
1988,656.11,270.02,204.25,137.94,227.65,60.47,34.37,—,50.98,—,"1,641.78",56.22,"1,697.99"
1989,718.09,289.01,218.37,165.47,237.54,66.82,44.98,—,61.34,—,"1,801.62",37.32,"1,838.94"
1990,779.03,300.70,231.58,171.76,275.13,73.67,43.56,—,70.58,—,"1,946.01",18.76,"1,964.77"
1991,837.09,301.56,241.03,198.84,297.99,80.61,46.91,—,83.10,—,"2,087.14",65.32,"2,152.46"
1992,843.31,328.84,247.93,209.84,335.46,84.46,49.39,—,96.78,—,"2,196.01",58.56,"2,254.57"
1993,852.03,358.70,245.64,216.37,362.28,81.03,81.31,—,93.02,—,"2,290.39",67.81,"2,358.20"
1994,855.18,308.77,241.39,229.57,379.56,73.81,119.11,—,93.09,—,"2,300.48",50.01,"2,350.50"
1995,887.88,298.89,243.82,243.73,409.35,68.42,149.40,—,98.38,—,"2,399.88",35.85,"2,435.73"
1996,904.17,342.56,247.90,262.33,386.67,79.94,135.52,—,102.23,—,"2,461.31",36.28,"2,497.60"
1997,909.78,351.91,252.46,249.68,391.71,95.73,101.68,—,96.60,—,"2,449.56",50.73,"2,500.29"
1998,919.78,371.12,272.69,250.73,457.77,103.97,106.35,—,108.10,—,"2,590.51",70.26,"2,660.77"
1999,948.75,387.78,279.30,256.23,477.71,116.30,119.80,—,107.26,—,"2,693.13",85.34,"2,778.47"
2000,994.49,419.74,296.80,244.92,510.44,131.41,128.55,—,118.43,—,"2,844.78",95.04,"2,939.81"
2001,"1,054.27",443.58,316.21,353.99,586.30,146.98,138.39,—,155.12,—,"3,194.83",286.87,"3,481.70"
2002,"1,185.42",416.55,369.71,330.23,566.43,171.14,178.17,—,154.97,—,"3,372.62",314.10,"3,686.72"
2003,"1,274.00",496.85,395.92,359.02,621.59,203.03,194.48,—,149.38,—,"3,694.27",223.18,"3,917.44"
2004,"1,325.71",533.57,429.03,355.41,659.45,192.70,177.83,—,150.63,—,"3,824.32",50.26,"3,874.59"
2005,"1,344.71",570.24,452.74,348.00,700.22,198.91,191.40,—,176.20,—,"3,982.42",79.81,"4,062.23"
2006,"1,382.41",679.79,491.24,382.18,753.02,204.25,214.21,—,196.60,—,"4,303.69",73.40,"4,377.09"
2007,"1,430.05",698.57,563.82,400.41,773.07,208.54,183.40,—,223.80,—,"4,481.67",160.90,"4,642.57"
2008,"1,525.33",658.64,629.22,408.59,798.62,221.21,226.77,—,228.27,—,"4,696.63",149.04,"4,845.67"
2009,"1,632.73",752.86,691.44,427.05,868.66,259.80,287.24,—,246.19,—,"5,165.96",266.74,"5,432.70"
2010,"1,791.60",805.31,743.88,406.68,942.81,257.95,304.21,—,290.63,—,"5,543.09",287.20,"5,830.29"
2011,"1,957.12",895.30,772.42,443.26,964.63,271.87,175.03,—,356.14,—,"5,835.77",470.85,"6,306.62"
2012,"2,036.89",895.96,787.81,465.07,922.83,283.68,156.37,—,404.89,—,"5,953.49",357.15,"6,310.64"
2013,"2,107.61",921.13,827.84,478.90,895.43,281.96,174.55,—,450.33,—,"6,137.74",218.82,"6,356.55"
2014,"2,119.53","1,052.74",868.92,470.24,852.97,276.52,153.52,—,442.15,—,"6,236.58",147.36,"6,383.93"
2015,"2,171.30","1,106.86",900.35,497.29,834.46,299.90,140.55,—,473.11,—,"6,423.82",73.68,"6,497.50"
2016,"2,214.76","1,124.51",920.79,520.83,843.32,313.26,168.15,—,482.06,—,"6,587.68",66.45,"6,654.13"
2017,"2,215.26","1,152.34",962.54,586.68,985.41,323.70,194.36,—,509.82,—,"6,930.11",159.20,"7,089.31"
2018,"2,233.34","1,174.65",981.78,625.93,"1,029.67",346.39,203.46,—,513.61,—,"7,108.82",246.35,"7,355.17"
2019,"2,277.70","1,254.29",993.21,604.18,985.85,391.72,206.91,—,590.94,—,"7,304.79",217.35,"7,522.14"
2020,"2,272.19","1,238.37",987.80,518.03,"1,009.81",460.16,202.48,—,615.70,458.22,"7,762.76",113.40,"7,876.16"
2021,"2,315.84","1,229.34","1,033.40",665.38,"1,003.16",555.58,228.00,—,683.46,482.73,"8,196.90",127.73,"8,324.63"
2022,"2,394.12","1,300.02","1,026.96",686.94,"1,126.23",694.83,242.13,—,768.64,109.19,"8,349.06",188.11,"8,537.17"
2023 f,"2,618.28","1,365.91","1,069.20",718.05,"1,150.43",726.20,242.96,—,862.40,—,"8,753.42",297.52,"9,050.94"
2024 f,"2,691.12","1,380.64","1,173.66",741.02,"1,218.63",847.26,246.08,—,884.77,—,"9,183.19",279.76,"9,462.95"
,,,,,,,,,,,,,
Nova Scotia,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,228.49,23.81,65.71,37.48,35.62,13.80,12.60,—,10.00,—,427.52,35.22,462.73
1976,262.51,31.02,72.93,42.28,39.44,14.13,13.10,—,10.89,—,486.31,43.15,529.46
1977,281.73,43.36,79.28,50.60,44.21,14.54,14.54,—,11.81,—,540.07,18.38,558.45
1978,301.10,52.11,85.57,55.77,54.00,17.49,12.33,—,12.55,—,590.91,15.84,606.76
1979,331.85,59.74,93.10,61.59,66.81,18.84,12.87,—,13.66,—,658.46,16.08,674.54
1980,370.05,70.64,104.78,67.14,76.57,22.27,16.08,—,15.35,—,742.88,27.92,770.79
1981,463.25,79.23,111.35,75.50,86.86,25.91,18.39,—,20.08,—,880.58,42.18,922.76
1982,528.18,97.11,125.75,94.38,101.30,29.34,21.06,—,27.28,—,"1,024.40",45.47,"1,069.87"
1983,582.76,96.81,137.79,101.94,116.91,31.51,25.80,—,32.96,—,"1,126.48",30.82,"1,157.29"
1984,638.51,100.13,152.56,112.36,139.54,33.41,29.51,—,35.08,—,"1,241.10",41.39,"1,282.49"
1985,679.01,103.47,167.08,126.26,166.81,34.41,30.82,—,36.89,—,"1,344.75",46.61,"1,391.36"
1986,729.04,105.56,177.08,138.72,207.51,42.81,29.89,—,41.91,—,"1,472.52",76.14,"1,548.66"
1987,766.02,110.38,188.47,145.67,238.35,40.46,30.58,—,45.42,—,"1,565.34",181.04,"1,746.38"
1988,808.90,135.48,202.74,159.10,255.99,45.87,38.45,—,50.47,—,"1,697.00",69.81,"1,766.82"
1989,880.33,156.67,210.86,172.36,273.06,49.83,47.17,—,56.52,—,"1,846.80",91.41,"1,938.21"
1990,946.21,166.88,219.76,172.59,289.45,52.82,41.86,—,67.93,—,"1,957.51",93.04,"2,050.55"
1991,"1,003.02",176.93,230.08,187.72,301.53,57.01,46.73,—,73.02,—,"2,076.04",77.08,"2,153.12"
1992,"1,017.51",180.53,235.07,193.95,333.69,56.34,52.07,—,75.27,—,"2,144.42",65.15,"2,209.58"
1993,928.01,175.12,277.40,203.41,354.76,53.80,60.46,—,72.30,—,"2,125.27",66.56,"2,191.83"
1994,867.22,171.68,280.16,210.28,356.10,44.67,84.92,—,78.36,—,"2,093.38",89.70,"2,183.08"
1995,874.63,204.16,273.13,216.84,362.55,46.75,75.88,—,92.28,—,"2,146.23",74.79,"2,221.02"
1996,889.27,218.00,288.72,220.91,381.99,49.83,70.45,—,91.90,—,"2,211.07",32.04,"2,243.12"
1997,"1,080.99",237.61,313.88,235.58,391.28,64.96,62.28,—,112.50,—,"2,499.07",36.56,"2,535.63"
1998,"1,122.81",265.78,340.19,239.88,452.81,60.25,56.02,—,165.73,—,"2,703.48",36.17,"2,739.65"
1999,"1,133.45",300.49,373.33,261.79,465.79,63.44,60.22,—,160.66,—,"2,819.16",48.64,"2,867.80"
2000,"1,119.90",335.13,388.54,298.46,503.57,72.40,83.08,—,170.58,—,"2,971.66",66.06,"3,037.72"
2001,"1,140.75",349.56,400.12,302.29,550.35,77.81,106.55,—,188.68,—,"3,116.10",115.29,"3,231.39"
2002,"1,244.91",366.75,425.71,322.98,609.54,87.26,116.25,—,206.40,—,"3,379.80",156.39,"3,536.18"
2003,"1,360.31",386.78,474.57,355.60,651.82,82.01,138.13,—,216.46,—,"3,665.67",169.38,"3,835.05"
2004,"1,407.20",438.10,530.07,358.67,698.59,81.20,136.20,—,219.86,—,"3,869.89",91.78,"3,961.68"
2005,"1,495.84",495.97,572.14,389.81,754.16,92.46,162.56,—,225.61,—,"4,188.54",106.76,"4,295.29"
2006,"1,634.14",561.26,609.79,457.25,821.99,144.00,161.83,—,252.59,—,"4,642.85",124.14,"4,766.99"
2007,"1,751.50",602.07,636.90,488.19,865.20,177.98,175.24,—,275.37,—,"4,972.45",163.28,"5,135.73"
2008,"1,854.62",615.03,668.06,481.97,878.97,186.69,200.52,—,288.56,—,"5,174.42",169.78,"5,344.20"
2009,"1,960.17",671.08,690.04,506.99,931.07,202.62,212.66,—,295.15,—,"5,469.78",215.51,"5,685.29"
2010,"2,031.29",753.06,751.84,537.07,"1,053.64",212.17,217.60,—,412.74,—,"5,969.42",290.93,"6,260.36"
2011,"2,027.78",785.49,786.47,585.32,"1,077.40",181.57,225.46,—,500.18,—,"6,169.67",333.92,"6,503.59"
2012,"2,043.90",801.75,828.86,612.72,"1,052.98",179.62,262.27,—,549.62,—,"6,331.71",308.43,"6,640.14"
2013,"2,121.74",830.05,831.77,572.77,"1,073.53",168.00,229.25,—,624.25,—,"6,451.35",200.72,"6,652.07"
2014,"2,202.21","1,230.26",865.26,584.48,"1,043.85",168.93,234.93,—,647.32,—,"6,977.24",134.68,"7,111.91"
2015,"2,244.30","1,221.97",874.87,583.26,"1,061.38",149.51,240.16,—,683.33,—,"7,058.79",97.95,"7,156.73"
2016,"2,240.74","1,203.41",889.74,611.91,"1,057.44",144.60,245.23,—,680.43,—,"7,073.50",93.19,"7,166.68"
2017,"2,271.61","1,219.75",892.33,622.31,"1,075.52",148.91,265.03,—,699.10,—,"7,194.58",102.52,"7,297.10"
2018,"2,302.96","1,231.40",912.77,673.14,"1,087.27",160.56,276.44,—,690.94,—,"7,335.49",132.21,"7,467.70"
2019,"2,369.26","1,228.00",953.60,679.88,"1,164.63",163.67,278.64,—,737.50,—,"7,575.19",177.23,"7,752.42"
2020,"2,439.66","1,274.81",985.68,583.19,"1,185.45",169.22,266.08,—,730.62,516.41,"8,151.12",206.43,"8,357.56"
2021,"2,468.20","1,354.52","1,019.93",746.28,"1,200.62",300.53,296.73,—,800.72,578.95,"8,766.48",199.29,"8,965.77"
2022,"2,737.51","1,594.16","1,051.30",761.15,"1,270.03",372.84,318.78,—,900.71,135.13,"9,141.61",279.37,"9,420.98"
2023 f,"3,176.61","1,604.60","1,100.25",795.11,"1,293.69",336.66,334.54,—,985.33,—,"9,626.79",385.20,"10,012.00"
2024 f,"3,450.01","1,641.27","1,177.70",837.38,"1,342.54",279.03,348.78,—,"1,006.33",—,"10,083.03",421.66,"10,504.70"
,,,,,,,,,,,,,
New Brunswick,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,202.70,28.23,47.50,30.53,38.60,10.81,8.36,—,5.18,—,371.91,37.95,409.86
1976,237.27,40.09,50.64,35.24,42.63,13.26,8.43,—,5.49,—,433.04,33.80,466.84
1977,261.14,49.48,54.96,40.91,50.17,15.35,8.93,—,5.95,—,486.87,28.88,515.75
1978,283.92,60.39,60.19,50.22,56.41,19.28,8.33,—,6.38,—,545.10,33.39,578.49
1979,306.03,81.17,68.59,55.86,71.12,22.20,9.14,—,7.00,—,621.10,47.35,668.45
1980,354.09,106.25,81.78,64.18,88.46,28.47,12.14,—,9.25,—,744.63,51.83,796.45
1981,428.59,125.89,102.13,68.47,116.04,33.44,16.28,—,15.36,—,906.19,58.06,964.25
1982,512.07,152.21,129.26,82.09,139.69,39.33,18.52,—,18.99,—,"1,092.16",65.95,"1,158.10"
1983,550.52,165.00,148.24,88.98,149.26,42.63,19.67,—,21.80,—,"1,186.10",65.39,"1,251.48"
1984,585.95,170.34,155.41,97.36,155.74,45.59,22.00,—,25.52,—,"1,257.91",95.51,"1,353.42"
1985,614.77,177.13,167.47,110.01,169.86,47.59,23.98,—,30.08,—,"1,340.89",77.96,"1,418.85"
1986,641.35,171.69,180.13,112.31,195.80,50.04,23.38,—,34.24,—,"1,408.96",96.03,"1,504.99"
1987,692.50,173.39,197.27,120.78,230.91,50.79,21.65,—,39.05,—,"1,526.36",114.29,"1,640.65"
1988,751.46,188.38,217.50,128.51,238.68,54.35,27.91,—,41.82,—,"1,648.61",119.67,"1,768.28"
1989,814.17,195.46,236.91,135.54,248.61,55.51,45.08,—,46.63,—,"1,777.91",126.65,"1,904.56"
1990,901.36,221.01,242.98,142.66,275.16,59.29,44.20,—,65.98,—,"1,952.65",119.21,"2,071.86"
1991,963.48,241.12,259.06,152.86,297.62,60.41,47.30,—,77.52,—,"2,099.35",85.92,"2,185.27"
1992,"1,008.48",263.50,265.95,161.01,313.91,53.66,50.89,—,84.14,—,"2,201.53",70.60,"2,272.13"
1993,984.99,286.20,269.99,167.02,327.52,61.68,64.28,—,98.07,—,"2,259.74",62.66,"2,322.40"
1994,977.95,287.80,281.85,172.51,337.82,70.06,76.26,—,104.07,—,"2,308.32",81.64,"2,389.95"
1995,935.80,289.07,286.07,179.99,347.46,80.20,73.36,—,110.34,—,"2,302.29",120.39,"2,422.68"
1996,938.13,290.39,292.36,180.63,335.25,80.87,70.19,—,113.10,—,"2,300.92",110.04,"2,410.97"
1997,908.96,303.25,317.50,208.28,392.04,82.43,64.65,—,120.18,—,"2,397.29",70.68,"2,467.97"
1998,938.80,325.53,318.70,218.47,407.07,88.08,67.88,—,139.27,—,"2,503.79",60.13,"2,563.92"
1999,996.92,329.15,349.22,234.03,452.44,95.16,78.61,—,160.84,—,"2,696.36",70.17,"2,766.53"
2000,"1,055.79",341.17,368.54,263.17,495.37,108.35,89.77,—,175.98,—,"2,898.13",59.45,"2,957.58"
2001,"1,169.99",354.13,404.76,280.89,552.28,118.94,111.48,—,189.83,—,"3,182.30",111.22,"3,293.52"
2002,"1,251.91",381.12,430.07,289.15,608.47,116.80,130.57,—,199.39,—,"3,407.49",83.63,"3,491.12"
2003,"1,327.64",405.74,467.98,293.05,666.65,121.48,141.52,—,206.70,—,"3,630.76",90.17,"3,720.93"
2004,"1,421.70",419.63,509.53,313.43,693.83,126.82,140.85,—,217.03,—,"3,842.82",133.45,"3,976.27"
2005,"1,512.96",433.47,543.15,365.86,773.83,143.03,151.20,—,245.69,—,"4,169.18",235.28,"4,404.46"
2006,"1,615.14",495.22,579.75,382.77,819.98,154.31,160.82,—,270.97,—,"4,478.96",326.11,"4,805.08"
2007,"1,748.20",533.33,617.56,420.82,847.26,164.78,170.96,—,296.64,—,"4,799.55",264.20,"5,063.75"
2008,"1,872.11",568.02,660.77,456.81,898.17,179.43,178.02,—,352.97,—,"5,166.30",177.22,"5,343.52"
2009,"1,980.27",614.22,727.24,503.93,975.97,202.42,193.36,—,355.49,—,"5,552.90",184.78,"5,737.69"
2010,"2,062.59",663.79,739.73,457.67,"1,078.65",195.63,196.79,—,367.26,—,"5,762.12",209.05,"5,971.17"
2011,"2,083.67",677.21,779.98,481.51,"1,095.34",218.86,210.81,—,379.20,—,"5,926.59",247.58,"6,174.17"
2012,"2,108.80",689.99,808.03,497.02,"1,102.67",223.43,220.25,—,482.31,—,"6,132.51",172.49,"6,305.00"
2013,"2,124.59",700.30,796.75,498.52,"1,032.94",227.92,200.20,—,526.58,—,"6,107.79",130.26,"6,238.05"
2014,"2,107.13",767.15,800.22,518.62,"1,049.14",230.65,192.89,—,535.72,—,"6,201.52",155.92,"6,357.44"
2015,"2,144.73",795.68,829.60,530.69,"1,106.33",230.44,188.27,—,570.07,—,"6,395.81",161.86,"6,557.67"
2016,"2,093.64",836.74,851.28,548.61,"1,083.01",237.49,206.27,—,566.51,—,"6,423.54",201.76,"6,625.31"
2017,"2,106.45",880.53,874.49,582.68,"1,122.35",254.62,216.55,—,590.22,—,"6,627.90",248.07,"6,875.97"
2018,"2,156.38",918.76,891.01,614.11,"1,068.21",269.00,210.33,—,585.81,—,"6,713.60",241.78,"6,955.38"
2019,"2,200.73",965.67,905.96,639.52,"1,096.88",279.83,218.23,—,614.82,—,"6,921.64",209.73,"7,131.37"
2020,"2,140.85",995.50,907.86,557.86,"1,152.72",289.68,219.54,—,638.52,614.43,"7,516.95",189.80,"7,706.75"
2021,"2,268.43","1,015.81",923.06,675.42,"1,165.72",318.93,243.82,—,649.44,714.38,"7,975.01",176.30,"8,151.31"
2022,"2,543.20","1,088.95",961.36,721.94,"1,279.15",436.98,265.23,—,743.83,169.10,"8,209.75",200.54,"8,410.28"
2023 f,"2,659.10","1,157.11","1,026.48",755.44,"1,315.41",486.32,277.34,—,767.39,—,"8,444.60",235.77,"8,680.37"
2024 f,"2,658.08","1,244.99","1,040.05",795.66,"1,360.06",452.54,293.32,—,819.99,—,"8,664.68",257.58,"8,922.27"
,,,,,,,,,,,,,
Quebec,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,253.00,39.96,77.45,41.47,45.60,20.10,18.74,—,13.05,—,509.37,24.37,533.75
1976,291.25,53.35,86.64,48.36,46.32,24.72,22.12,—,13.90,—,586.66,19.14,605.80
1977,303.01,64.99,95.33,54.98,48.19,27.84,24.96,—,15.74,—,635.05,17.92,652.98
1978,348.24,76.29,106.26,61.91,47.18,23.49,21.53,—,14.52,—,699.43,25.15,724.57
1979,385.96,88.76,118.50,70.04,50.97,24.20,21.78,—,16.87,—,777.06,19.35,796.41
1980,434.47,103.53,134.27,80.53,52.50,26.63,23.33,—,21.63,—,876.89,27.89,904.78
1981,497.81,126.93,145.48,90.73,80.10,29.89,26.66,—,26.23,—,"1,023.84",28.18,"1,052.02"
1982,592.52,151.17,150.92,101.85,88.23,34.27,28.67,—,23.66,—,"1,171.30",27.75,"1,199.04"
1983,639.51,167.35,171.44,108.90,95.28,40.60,30.86,—,25.89,—,"1,279.84",34.01,"1,313.85"
1984,665.86,171.80,184.76,117.16,109.40,50.32,37.14,—,29.27,—,"1,365.72",38.81,"1,404.53"
1985,686.74,177.90,200.45,132.54,124.97,59.44,43.13,—,35.52,—,"1,460.70",44.29,"1,504.99"
1986,737.03,145.08,207.92,147.17,152.93,50.41,46.46,—,42.18,—,"1,529.18",41.65,"1,570.83"
1987,791.77,140.87,220.39,159.13,164.42,50.32,47.09,—,46.89,—,"1,620.87",40.67,"1,661.55"
1988,837.20,153.31,236.01,173.72,188.43,51.88,51.29,—,52.82,—,"1,744.66",51.31,"1,795.97"
1989,882.85,165.13,249.33,189.17,213.81,53.30,57.39,—,58.96,—,"1,869.94",49.21,"1,919.15"
1990,774.70,312.65,257.40,196.61,232.86,70.13,66.31,—,97.31,—,"2,007.96",46.93,"2,054.89"
1991,767.93,373.71,270.87,212.35,264.21,74.43,66.49,—,132.65,—,"2,162.62",70.48,"2,233.10"
1992,804.20,388.18,280.79,216.51,282.94,72.60,73.07,—,135.04,—,"2,253.33",64.51,"2,317.83"
1993,821.37,393.84,289.58,222.74,305.24,66.94,78.92,—,122.21,—,"2,300.85",63.88,"2,364.72"
1994,811.05,404.42,296.44,231.60,320.02,70.15,84.81,—,118.02,—,"2,336.50",79.40,"2,415.90"
1995,782.75,409.59,308.31,238.61,345.36,70.57,81.85,—,117.06,—,"2,354.10",72.61,"2,426.71"
